id_album,nombre_album,cant_tracks,release_date
['494aUGKXMH5ruXtR3O1a3H'],Papercuts: Instrumentals,20,2024-06-28
['1X472EvsSqH09RyrqbtyXU'],Papercuts,20,2024-04-12
['3Q9wXhEAX7NYCPP0hxIuDz'],Meteora 20th Anniversary Edition,89,2023-04-07
['28DUZ0itKISf2sr6hlseMy'],Hybrid Theory (20th Anniversary Edition),80,2020-10-09
['0zcNtUZ2oEpRmiDuWBFvcX'],One More Light Live,16,2017-12-15
['5Eevxp2BCbWq25ZdiXRwYd'],One More Light,10,2017-05-19
['6hU9JCoqq4GjYq86dQ1o9b'],The Hunting Party: Acapellas + Instrumentals,22,2014-06-09
['3XB2yloP7l00tEUmaODtVi'],The Hunting Party,12,2014-06-09
['2FUsvD1bw53HGOjAg56vRD'],RECHARGED,14,2013-10-25
['7qRKpkP0jSOlBMLYZhAMCh'],LIVING THINGS: Acapellas and Instrumentals,22,2012-06-19
['4XHIjbhjRmqWlosjj5rqSI'],LIVING THINGS,12,2012-06-19
['0hJ3A7sih1AXDoMjXHLr7Q'],A Thousand Suns Live Around the World,10,2012-06-19
['7IYqppCBhR5z9z8JqgXuxi'],Minutes to Midnight Live Around the World,12,2012-06-12
['4flcwtqnLoKZJ2wrCp1aJq'],Meteora Live Around the World,7,2012-06-05
['1FiRqhpAowNK8gTl5sOhxZ'],Hybrid Theory Live Around the World,8,2012-05-31
['4fy0SXW5G8evBCo2A3kn02'],A Thousand Suns (Bonus Edition),21,2010-09-08
['5uvXx5ZQswNRFCdHR521YZ'],A Thousand Suns,15,2010-09-08
['72seWTJF9U5SljizfyF2ZK'],Road to Revolution (Live at Milton Keynes),18,2008-11-21
['4JtIVJRA342O0YoAchen5Q'],Minutes to Midnight (Deluxe Edition),16,2007-05-14
['7pgs38iLfEqUtwgCRgvbND'],Minutes to Midnight,14,2007-05-14
