track_id,track_name,artist,danceability,energy,loudness,speechiness,intrumentalness,valence,duration_ms
1uhces29ApKuQWFdpiUsvH,From Zero (Intro),['Linkin Park'],0.337,0.139,-18.884,0.165,5.2e-06,0.0,22174
1EDPVGbyPKJPeGqATwXZvN,The Emptiness Machine,['Linkin Park'],0.466,0.872,-3.344,0.0336,0.0,0.806,190428
5mFZipkX1HZ4Idz5LOWpzq,Cut the Bridge,['Linkin Park'],0.622,0.936,-2.72,0.067,3.09e-06,0.743,228607
2HBBM75Xv3o2Mqdyh1NcM0,Heavy Is the Crown,['Linkin Park'],0.571,0.928,-3.725,0.0453,0.0,0.488,167012
3k4gjmYNJugQRlh2aounZ9,Over Each Other,['Linkin Park'],0.55,0.789,-4.634,0.0382,0.0,0.317,170445
7BkzAHnNW7WfrT4NcLaUDx,Casualty,['Linkin Park'],0.576,0.948,-4.082,0.173,0.00838,0.5,140916
7diOv6wm3ngF7Vt6ubK0Sf,Overflow,['Linkin Park'],0.515,0.654,-6.349,0.0492,0.000103,0.306,211027
6i5qhmmF9UNUBRyrPSGn4m,Two Faced,['Linkin Park'],0.51,0.945,-5.405,0.0804,4.8e-06,0.323,183584
0J1IJsMbKWb5g2sJArTkGF,Stained,['Linkin Park'],0.516,0.868,-5.148,0.0969,0.0,0.375,185415
7M8eZBRTD9QNasEVReEM0H,IGYEIH,['Linkin Park'],0.442,0.968,-3.417,0.126,1.53e-05,0.308,209084
6aCBjSb87RizdH8lVBIRW7,Good Things Go,['Linkin Park'],0.541,0.757,-5.37,0.0421,0.0,0.307,209845
4XaV4XMROzY1G242gB3Q4K,Crawling (Instrumental),['Linkin Park'],0.622,0.632,-9.329,0.0337,0.753,0.35,209034
46ppIcCWeyCeNS6BbveSc0,Faint (Instrumental),['Linkin Park'],0.562,0.929,-5.818,0.0806,0.662,0.519,162727
4ySeTJOYb31uzSdIMw0U3x,Numb / Encore (Instrumental),"['JAY-Z', 'Linkin Park']",0.728,0.375,-12.569,0.0356,0.243,0.637,205234
4B1Uaz5w9HGXtIigc3zyQa,Papercut (Instrumental),['Linkin Park'],0.499,0.816,-6.206,0.0561,0.761,0.708,184347
3zruk8xsxvYcLOsYjFNl8E,Breaking the Habit (Instrumental),['Linkin Park'],0.515,0.833,-7.026,0.0265,0.946,0.465,195388
6RUv6gg1Jv1NMT8N5Jv2Wd,In the End (Instrumental),['Linkin Park'],0.558,0.736,-7.131,0.0299,0.899,0.282,216347
6rmBv18D2JgQy0GWIRwwST,Bleed It Out (Instrumental),['Linkin Park'],0.502,0.872,-6.316,0.0281,0.746,0.562,164466
7sg2aQZFGgIhDuOZVUGWYO,Somewhere I Belong (Instrumental),['Linkin Park'],0.397,0.875,-6.123,0.0315,0.477,0.334,214018
6y7mwRBftYgFiAk2QRYOi1,Waiting for the End (Instrumental),['Linkin Park'],0.6,0.904,-6.872,0.07,0.841,0.144,231157
0L0yA1cbvbeXUYkrCGa1Zd,CASTLE OF GLASS (Instrumental),['Linkin Park'],0.671,0.905,-6.481,0.027,0.888,0.696,205395
0yL46UtgzVtn7npJVQBzSe,One More Light (Instrumental),['Linkin Park'],0.465,0.115,-18.91,0.0409,0.872,0.188,255451
72yk9NeUJJZXSGB0SypJF1,BURN IT DOWN (Instrumental),['Linkin Park'],0.521,0.988,-6.463,0.0473,0.959,0.573,230259
5ej37Qdesrc0qmylxRN0xN,What I've Done (Instrumental),['Linkin Park'],0.636,0.895,-6.613,0.0315,0.757,0.393,208367
5dagCN1KHDSj44Cu2FuFYh,QWERTY (Instrumental),['Linkin Park'],0.546,0.762,-6.402,0.0341,0.877,0.478,201340
0Lc9LYNJ7X2em2ZGpkuWNf,One Step Closer (Instrumental),['Linkin Park'],0.46,0.927,-6.358,0.0402,0.775,0.463,155642
6c4Jee41407rtxPMeBUEe5,New Divide (Instrumental),['Linkin Park'],0.537,0.767,-4.697,0.034,0.83,0.297,269867
5E89LIlHBmsOhDTu1KoIE5,Leave Out All The Rest (Instrumental),['Linkin Park'],0.489,0.486,-8.28,0.0308,0.892,0.217,199216
339gEiwLYqFOYxpFfZmgyN,Lost (Instrumental),['Linkin Park'],0.577,0.75,-6.628,0.0353,0.734,0.409,201321
17uGK232T2oqGTYvh8R2Z3,Numb (Instrumental),['Linkin Park'],0.481,0.836,-7.399,0.031,0.857,0.119,186199
3OS7J9Yfp16foCfr8u83bX,Friendly Fire (Instrumental),['Linkin Park'],0.572,0.607,-7.826,0.0332,0.842,0.0518,176658
4yQI9wjNF0gYUHwjNpCLQ9,Crawling,['Linkin Park'],0.576,0.659,-6.387,0.0345,1.23e-05,0.325,209034
5C85MPxFAZE5tUcJQB1P30,Faint,['Linkin Park'],0.534,0.974,-4.11,0.158,0.0,0.539,162689
1h94Gt9wygZ7vPFR07fYPG,Numb / Encore,"['JAY-Z', 'Linkin Park']",0.684,0.752,-5.788,0.147,0.0,0.791,206301
3MLGWsrThUbVq4Fsr8RIjc,Papercut,['Linkin Park'],0.513,0.877,-4.608,0.0974,0.0,0.734,186219
6AaZ2E0giZiHkWVfL8hjF1,Breaking the Habit,['Linkin Park'],0.555,0.831,-4.422,0.0328,0.0,0.547,197177
5DXGHZ3QDh0FcLXPMWTv9U,In the End,['Linkin Park'],0.535,0.856,-5.055,0.0471,0.0,0.347,216294
3ngEujGXz33Imh6JkEeFfs,Bleed It Out,['Linkin Park'],0.515,0.957,-4.252,0.053,0.0,0.596,164457
3pScwKYtxX21CQBlPr1dx7,Somewhere I Belong,['Linkin Park'],0.424,0.929,-4.201,0.0702,0.0,0.39,214074
4g9Rm7ST0lTTJDpQzac48P,Waiting for the End,['Linkin Park'],0.488,0.962,-4.157,0.137,1.18e-06,0.323,231157
5oQNTH2WkhdsCEETc5XriH,CASTLE OF GLASS,['Linkin Park'],0.615,0.913,-4.034,0.0276,0.0015,0.66,205395
5mvBULQmmnCYlUVTPt5cEU,One More Light,['Linkin Park'],0.429,0.207,-11.092,0.0408,0.0,0.169,255082
2YRLXsjjIO7oj1OIEWnmTT,BURN IT DOWN,['Linkin Park'],0.578,0.971,-4.978,0.0506,0.0,0.562,230259
3ZihDcSeGEhZPT2zBCt3xo,What I've Done,['Linkin Park'],0.627,0.915,-5.755,0.0323,0.0,0.32,207003
5njHkFji5oL7cYrbuHZyaC,QWERTY,['Linkin Park'],0.561,0.855,-4.984,0.0449,0.000211,0.461,201341
1PVB2vPslanitCuhjvnqxc,One Step Closer,['Linkin Park'],0.468,0.976,-4.732,0.0528,5.88e-06,0.396,155647
5wmkQbOUTLjnDsdLeNgtO3,New Divide,['Linkin Park'],0.493,0.792,-3.877,0.0358,1.05e-06,0.365,269099
31ymMAWySGsMvIBZ8ry65u,Leave Out All The Rest,['Linkin Park'],0.503,0.626,-6.376,0.0341,3.17e-06,0.225,199205
16dALKZMgCknDLnGZI9emn,Lost,['Linkin Park'],0.596,0.798,-4.63,0.0285,0.0,0.459,199342
2ULknvs2DJ0L0hLRDYunor,Numb,['Linkin Park'],0.456,0.831,-4.589,0.0417,0.0,0.249,187508
7hPBYRCHcBUMT7I5V9Go2s,Friendly Fire,['Linkin Park'],0.278,0.68,-5.289,0.0601,0.0,0.252,176901
16XJqMv1M2D1seDcPEznfY,Don't Stay,['Linkin Park'],0.383,0.992,-3.41,0.131,0.0,0.673,188113
1Fv4xhjAOSOV70kE3DW6n8,Somewhere I Belong,['Linkin Park'],0.424,0.929,-4.201,0.0702,0.0,0.39,214074
4eSduoSXJ2F5k39DVAyYGd,Lying from You,['Linkin Park'],0.488,0.94,-3.671,0.161,0.0,0.678,175195
0YWc5YdBjmGEuojaMJVyRD,Hit the Floor,['Linkin Park'],0.715,0.959,-4.042,0.218,0.0,0.867,164310
3UfcKpYlyZCnwuIMYApu1f,Easier to Run,['Linkin Park'],0.519,0.828,-4.79,0.0334,0.0,0.282,204185
5tde01mQCdZBAq9FvtjQRo,Faint,['Linkin Park'],0.532,0.973,-4.058,0.154,0.0,0.503,162206
1KEQ9UIwVhQ3dCzKJ3ORFr,Figure.09,['Linkin Park'],0.487,0.936,-4.032,0.0494,0.0,0.62,197627
2NieHu1SopLwluQhOmVPow,Breaking the Habit,['Linkin Park'],0.556,0.839,-4.311,0.0311,0.0,0.549,196302
3CkopQ1dNbKfqQdVHBLv9e,From the Inside,['Linkin Park'],0.431,0.946,-3.515,0.0628,0.0,0.295,175647
1PWn56rzwuvoRGLDJbphO5,Nobody's Listening,['Linkin Park'],0.444,0.81,-3.972,0.286,0.0,0.376,179041
5KU5vKLUAUZJEiIoDLmOqC,Session,['Linkin Park'],0.58,0.948,-5.775,0.0491,0.81,0.207,144829
0TTN18FVx6Ibfqzotyneok,Numb,['Linkin Park'],0.456,0.831,-4.589,0.0417,0.0,0.249,187508
6z2GJGDgxen8Ld0DzQmPuD,Don't Stay - Live In Texas,['Linkin Park'],0.459,0.995,-3.649,0.119,1.44e-06,0.373,199160
3Euo2ZxMvqGBf5nLSjvRXF,Somewhere I Belong - Live In Texas,['Linkin Park'],0.38,0.98,-4.427,0.108,0.0,0.375,215387
34Ptq4NkBUM5eVVtv6FJex,Lying from You - Live In Texas,['Linkin Park'],0.406,0.981,-4.484,0.244,0.0,0.51,186493
3wdjj73kg3kBs2tfC274H4,Papercut - Live In Texas,['Linkin Park'],0.46,0.996,-4.377,0.195,0.0,0.368,186320
0YDorm2AWuGLQYkSoLl7hZ,Points of Authority - Live In Texas,['Linkin Park'],0.55,0.978,-4.291,0.0806,1.4e-06,0.459,205547
05kLqY17FuCOKRbgl7q2bn,Runaway - Live In Texas,['Linkin Park'],0.603,0.963,-4.361,0.0964,7.9e-06,0.501,187467
5D4p2dJlcU11E7IYiKdNOQ,Faint - Live In Texas,['Linkin Park'],0.562,0.982,-4.588,0.0944,3.14e-06,0.377,166373
6TcdhSTgYnWvHVLxoYEDPQ,From the Inside - Live In Texas,['Linkin Park'],0.453,0.964,-5.314,0.0882,0.673,0.474,180720
63dTErJefSRcFYSJVPF88g,Figure.09 - Live In Texas,['Linkin Park'],0.505,0.97,-4.712,0.12,0.0,0.421,231373
0YLKCq0pqNE6pF0OuioD9I,With You - Live In Texas,['Linkin Park'],0.494,0.992,-3.804,0.242,1.66e-05,0.264,199920
7rBF49vQ7ZPfwv7fWiaeip,By Myself - Live In Texas,['Linkin Park'],0.557,0.99,-4.142,0.133,0.00111,0.235,247373
2S7ZDc1yUuDKHGhmDiO3VI,P5hng Me A*Wy - Live In Texas,['Linkin Park'],0.532,0.846,-5.887,0.04,0.00929,0.324,304947
